id,pillar,hook,caption_full,cta_keyword
11,Social Proof,"Daniela mandó 50 aplicaciones en 3 meses. Cero respuestas. Cambió una cosa.","Daniela mandó 50 aplicaciones en 3 meses. Cero respuestas. Cambió una cosa.\n\nSu CV tenía el diseño de Canva que todos conocemos: dos columnas, barra lateral de habilidades con puntos de colores, foto circular en la esquina. Se veía profesional. El ATS lo leía como basura.\n\nCambiamos el formato a una columna simple, sin diseño gráfico, con las palabras exactas de las ofertas de trabajo que le interesaban. En la semana 2 ya tenía 3 entrevistas agendadas.\n\nManda 'CV' a mis DMs y hacemos lo mismo con el tuyo.\n\n#ExitoLaboral #CVLatam #ATS #BusquedaDeEmpleo #OptimizarCV #CasoDeExito #TrabajoRemoto #ConsejoDeCV #TipsDeCV #FiltroATS #WorqAI #EmpleoLatam #CarreraLatam #CVProfesional #ResumeLatam",CV
12,Social Proof,"De 0 entrevistas en 4 meses a 2 en la primera semana. Esto es lo que cambió.","De 0 entrevistas en 4 meses a 2 en la primera semana. Esto es lo que cambió.\n\nAlejandro llegó con un CV de 3 páginas, diseñado en Word con tablas, y un perfil de LinkedIn con la foto del cumpleaños de un familiar de fondo.\n\nHicimos tres cosas: recortamos el CV a una página, eliminamos las tablas y lo pasamos a texto plano, y reescribimos el título de LinkedIn con el cargo exacto al que aplicaba.\n\nDos semanas después tenía oferta.\n\nManda 'ANALIZAR' a mis DMs y vemos qué está frenando el tuyo.\n\n#CasoDeExito #CVLatam #BusquedaDeEmpleo #OptimizarCV #LinkedIn #TrabajoRemoto #TipsDeCV #ConsejoDeCV #EmpleoLatam #WorqAI #ATS #CarreraLatam #CVProfesional #ResumeLatam #FiltroATS",ANALIZAR
13,Social Proof,"Un usuario de WorqAI pasó de 0 a 6 entrevistas en 3 semanas. Su cambio fue simple.","Un usuario de WorqAI pasó de 0 a 6 entrevistas en 3 semanas. Su cambio fue simple.\n\nNo reescribió todo su perfil. No tomó un curso de 40 horas. Usó WorqAI para generar una versión ATS-safe de su CV en español, descargó otra en inglés para las aplicaciones remotas, y actualizó el headline de LinkedIn con la función de optimización integrada.\n\nEso fue todo. 6 entrevistas en 3 semanas.\n\nManda 'GRATIS' a mis DMs y accedés al análisis de tu CV sin costo.\n\n#WorqAI #CVLatam #BusquedaDeEmpleo #ATS #TrabajoRemoto #OptimizarCV #CasoDeExito #EmpleoLatam #TipsDeCV #CarreraLatam #ConsejoDeCV #CVProfesional #ResumeLatam #LinkedIn #FiltroATS",GRATIS
14,Social Proof,"Su CV tenía 4 años sin actualizarse. Lo revisamos en 20 minutos y consiguió entrevista esa semana.","Su CV tenía 4 años sin actualizarse. Lo revisamos en 20 minutos y consiguió entrevista esa semana.\n\nEl perfil de Mariana era sólido: experiencia real, buenos proyectos, formación relevante. El problema era que el archivo era un .doc de Word 2010 con una tabla de dos columnas que ningún ATS moderno podía leer correctamente.\n\nVeinte minutos en WorqAI, mismo contenido, formato ATS-safe. Entrevista en 5 días.\n\nManda 'REVISAR' a mis DMs y hacemos el mismo ejercicio con el tuyo.\n\n#CVLatam #ATS #BusquedaDeEmpleo #OptimizarCV #CasoDeExito #TrabajoRemoto #TipsDeCV #ConsejoDeCV #WorqAI #EmpleoLatam #CarreraLatam #FiltroATS #CVProfesional #ResumeLatam #LinkedIn",REVISAR
15,Behind-the-Scenes,Estoy construyendo WorqAI porque no encontré ninguna herramienta de CVs hecha para latinoamericanos.,"Estoy construyendo WorqAI porque no encontré ninguna herramienta de CVs hecha para latinoamericanos.\n\nRezi, Teal, Enhancv: todos excelentes si vivís en EEUU y tenés un historial laboral gringo. Pero si tus títulos universitarios no mapean 1:1 con el sistema americano, si trabajaste en empresas que nadie reconoce fuera de tu país, si querés el CV en español con opción de descargarlo en inglés, ninguna de esas herramientas te sirve bien.\n\nEntonces lo estamos construyendo nosotros.\n\nManda 'CV' a mis DMs si querés ser de los primeros en usarlo.\n\n#BuildInPublic #WorqAI #StartupLatam #CVLatam #TrabajoRemoto #BusquedaDeEmpleo #EmprendimientoLatam #ProductoLatam #SaaSLatam #TechLatam #CarreraLatam #EmpleoLatam #CVProfesional #ResumeLatam #BuscandoEmpleo",CV
16,Behind-the-Scenes,"Hoy procesamos el CV número 847 en WorqAI. Esto es lo que aprendimos.","Hoy procesamos el CV número 847 en WorqAI. Esto es lo que aprendimos.\n\nEl error más común no es el contenido. Es el formato: el 61% de los CVs que entran tienen columnas dobles que el ATS fragmenta. El segundo error más común es el objetivo profesional genérico que nadie lee y que ocupa espacio valioso.\n\nY el tercer error, que no esperábamos tanto: fechas escritas como 'Enero 2022' en lugar de '01/2022', que algunos sistemas no parsean correctamente.\n\nPequeños detalles que suman y que WorqAI corrige automáticamente.\n\nManda 'DIAGNÓSTICO' a mis DMs y revisamos el tuyo.\n\n#BuildInPublic #WorqAI #CVLatam #ATS #BusquedaDeEmpleo #StartupLatam #OptimizarCV #DatosReales #CarreraLatam #TipsDeCV #ConsejoDeCV #FiltroATS #CVProfesional #ResumeLatam #EmprendimientoLatam",DIAGNÓSTICO
17,Behind-the-Scenes,La decisión más difícil de construir WorqAI fue no cobrar $30 al mes.,"La decisión más difícil de construir WorqAI fue no cobrar $30 al mes.\n\nRezi cobra $29. Teal cobra $29. Resume.io cobra $20. Si solo miramos el mercado, $25-30 es el precio 'lógico'.\n\nPero nuestro usuario gana en promedio 3 veces menos que el usuario que diseñaron esas herramientas. Misma necesidad, diferente realidad económica.\n\nPor eso el plan Pro de WorqAI sale $9 al mes. Y hay versión gratuita.\n\nManda 'GRATIS' a mis DMs si querés el acceso.\n\n#BuildInPublic #WorqAI #StartupLatam #CVLatam #BusquedaDeEmpleo #PrecioJusto #EmprendimientoLatam #SaaSLatam #TechLatam #CarreraLatam #EmpleoLatam #TrabajoRemoto #ProductoLatam #CVProfesional #ResumeLatam",GRATIS
18,Behind-the-Scenes,"Pasé 6 horas leyendo CVs de usuarios de WorqAI para entender qué fallaba. Tres patrones aparecieron en casi todos.","Pasé 6 horas leyendo CVs de usuarios de WorqAI para entender qué fallaba. Tres patrones aparecieron en casi todos.\n\nPrimero: el CV describe responsabilidades, no resultados. 'Fui responsable de la atención al cliente' vs 'Reduje el tiempo de respuesta de 48h a 6h en 3 meses'. El primero es olvidable. El segundo no.\n\nSegundo: la experiencia más relevante está enterrada en la página 2 porque el orden es cronológico inverso estricto, sin considerar qué le importa al puesto.\n\nTercero: cero keywords del sector. El reclutador busca palabras específicas, no sinónimos creativos.\n\nManda 'AUDIT' a mis DMs y vemos si tu CV cae en estos patrones.\n\n#BuildInPublic #WorqAI #CVLatam #BusquedaDeEmpleo #OptimizarCV #ATS #ConsejoDeCV #CarreraLatam #TipsDeCV #CVProfesional #TrabajoRemoto #ResumeLatam #EmpleoLatam #LinkedIn #FiltroATS",AUDIT
19,Product,WorqAI ahora genera tu CV en español e inglés desde un solo perfil.,"WorqAI ahora genera tu CV en español e inglés desde un solo perfil.\n\nCargás tu información una vez: experiencia, educación, habilidades. Y descargás dos archivos: uno en español con formato LATAM (fechas, títulos, convenciones locales) y uno en inglés con formato americano (sin foto, sin fecha de nacimiento, una página máxima).\n\nNo traducción literal. Adaptación real de formato y convenciones por idioma.\n\nManda 'CV' a mis DMs y te muestro cómo funciona.\n\n#WorqAI #CVLatam #CVEnIngles #BusquedaDeEmpleo #TrabajoRemoto #OptimizarCV #BilingualCV #EmpleoLatam #CarreraLatam #TipsDeCV #ATS #ConsejoDeCV #CVProfesional #ResumeLatam #NuevaFuncion",CV
20,Product,Lanzamos el analizador de CV contra ATS en WorqAI. Te dice exactamente qué está fallando.,"Lanzamos el analizador de CV contra ATS en WorqAI. Te dice exactamente qué está fallando.\n\nSubís tu CV. Pegás la descripción del trabajo. El sistema compara ambos y te da: porcentaje de coincidencia de keywords, secciones que el ATS probablemente no puede leer, y una lista priorizada de cambios.\n\nNo es un score genérico. Es un análisis contra el puesto específico al que querés aplicar.\n\nManda 'ATS' a mis DMs y te muestro el análisis en vivo.\n\n#WorqAI #ATS #CVLatam #BusquedaDeEmpleo #OptimizarCV #FiltroATS #NuevaFuncion #CarreraLatam #TipsDeCV #ConsejoDeCV #TrabajoRemoto #EmpleoLatam #CVProfesional #ResumeLatam #AnalizadorCV",ATS
21,Product,El optimizador de LinkedIn de WorqAI ya está disponible para todos los usuarios Pro.,"El optimizador de LinkedIn de WorqAI ya está disponible para todos los usuarios Pro.\n\nAnalizá tu perfil actual, pegá el tipo de roles que buscás, y recibís: sugerencia de headline optimizado para búsquedas de reclutadores, secciones faltantes que bajan tu visibilidad, y keywords por industria que aumentan la probabilidad de aparecer en búsquedas.\n\nEn promedio los perfiles que optimizamos con esta función reciben 3x más vistas de reclutadores en 30 días.\n\nManda 'LINKEDIN' a mis DMs y te cuento cómo acceder.\n\n#WorqAI #LinkedIn #OptimizarLinkedIn #BusquedaDeEmpleo #NuevaFuncion #CarreraLatam #PerfilLinkedIn #TipsLinkedIn #TrabajoRemoto #EmpleoLatam #CVLatam #LinkedInTips #ConsejoDeCV #ResumeLatam #EstrategiaLaboral",LINKEDIN
22,Education,Tu 'objetivo profesional' en el CV está ocupando espacio que nadie lee.,"Tu 'objetivo profesional' en el CV está ocupando espacio que nadie lee.\n\nEra útil en 2005 cuando los CVs llegaban por correo físico y el reclutador necesitaba contexto. Ahora el sistema sabe para qué puesto aplicás porque lo marcaste en la plataforma.\n\nEse espacio vale oro. Usalo para un resumen de 3 líneas con tus resultados más fuertes y las keywords del sector. O eliminalo y empezá directo con la experiencia.\n\nManda 'REVISAR' a mis DMs y revisamos juntos qué conviene hacer con el tuyo.\n\n#CVLatam #TipsDeCV #BusquedaDeEmpleo #OptimizarCV #ConsejoDeCV #ATS #CarreraLatam #CVProfesional #TrabajoRemoto #EmpleoLatam #FiltroATS #ResumeLatam #WorqAI #LinkedInLatam #EstrategiaLaboral",REVISAR
23,Education,Si tu CV tiene más de 2 páginas y tenés menos de 10 años de experiencia hay un problema.,"Si tu CV tiene más de 2 páginas y tenés menos de 10 años de experiencia hay un problema.\n\nNo es un problema de contenido. Es un problema de criterio editorial: no todo lo que hiciste merece estar. El CV no es un historial completo, es un argumento de venta para un puesto específico.\n\nLo que quedó en los últimos 5-7 años y es relevante para el rol: entra. Lo demás: afuera o resumido en una línea.\n\nManda 'CHECK' a mis DMs y vemos qué está ocupando espacio innecesario en el tuyo.\n\n#CVLatam #TipsDeCV #BusquedaDeEmpleo #OptimizarCV #ConsejoDeCV #CarreraLatam #CVProfesional #TrabajoRemoto #EmpleoLatam #ATS #ResumeLatam #WorqAI #FiltroATS #EstrategiaLaboral #LinkedInLatam",CHECK
24,Education,Las referencias 'disponibles a solicitud' en tu CV son un error de 1998.,"Las referencias 'disponibles a solicitud' en tu CV son un error de 1998.\n\nTodos saben que tenés referencias. Nadie las pide en el CV. Esa línea solo le dice al reclutador que tu CV tiene elementos desactualizados, lo cual levanta dudas sobre qué más está desactualizado.\n\nQuitala. Si querés incluir referencias reales con nombre y contacto, eso sí tiene valor. Si no tenés permiso de ponerlas, no las pongas.\n\nManda 'ANALIZAR' a mis DMs y hacemos una revisión rápida del tuyo.\n\n#CVLatam #TipsDeCV #BusquedaDeEmpleo #OptimizarCV #ConsejoDeCV #CarreraLatam #CVProfesional #EmpleoLatam #ATS #ResumeLatam #WorqAI #TrabajoRemoto #FiltroATS #EstrategiaLaboral #BuscandoEmpleo",ANALIZAR
25,Education,Hay un error que cometés al escribir los logros en tu CV y hace que parezcan responsabilidades.,"Hay un error que cometés al escribir los logros en tu CV y hace que parezcan responsabilidades.\n\nEscribís: 'Responsable de la gestión de campañas digitales'.\nDebería decir: 'Gestioné 12 campañas de pauta en Meta con presupuesto de $50k, logrando un CPL 34% por debajo del benchmark del sector'.\n\nLa diferencia es el número. Sin número, cualquier logro suena a descripción de puesto. Con número, suena a candidato que sabe medir su trabajo.\n\nManda 'PASA' a mis DMs y te ayudo a reescribir los tuyos con esa estructura.\n\n#CVLatam #TipsDeCV #BusquedaDeEmpleo #OptimizarCV #ConsejoDeCV #CarreraLatam #CVProfesional #ATS #TrabajoRemoto #EmpleoLatam #ResumeLatam #WorqAI #FiltroATS #EstrategiaLaboral #LinkedInLatam",PASA
